YEAR,DOY,PRECTOTCORR,T2M_MAX,T2M_MIN,T2M,QV2M,WS2M
2010,101,8.87,25.19,13.05,19.05,9.83,1.77
2010,102,0.28,22.53,11.13,16.05,8.79,2.53
2010,103,0.48,22.4,11.7,15.83,8.42,1.7
2010,104,11.45,25.65,10.67,17.94,8.61,1.91
2010,105,10.25,22.6,12.91,17.76,9.22,1.71
2010,106,8.5,20.53,12.15,16.19,8.79,1.47
2010,107,7.65,19.33,12.03,15.31,8.18,1.59
2010,108,3.1,19.82,10.51,14.96,8.3,2.75
2010,109,0.21,25.24,10.46,17.67,8.73,1.58
2010,110,0.39,28.51,13.46,20.57,9.83,1.3
2010,111,4.04,24.5,14.86,19.46,10.19,2.29
2010,112,3.84,21.15,11.9,16.02,9.16,3.55
2010,113,1.11,22.98,12.44,16.89,9.4,2.0
2010,114,0.13,25.07,12.15,17.71,9.89,1.63
2010,115,2.0,25.17,14.45,18.36,10.62,1.63
2010,116,0.12,30.4,15.14,21.83,10.68,4.12
2010,117,0.0,34.12,16.08,24.15,10.07,2.46
2010,118,0.14,33.03,17.05,24.61,10.13,1.86
2010,119,0.39,31.92,18.57,23.55,11.66,2.07
2010,120,2.27,30.56,16.54,21.38,11.72,2.41
2010,121,0.19,25.62,12.78,18.45,9.4,1.98
2010,122,0.0,26.06,11.93,18.02,8.85,1.78
2010,123,0.01,21.8,9.91,16.04,8.36,3.23
2010,124,0.02,20.16,8.76,13.7,6.77,3.56
2010,125,0.0,22.26,6.0,14.18,5.8,1.7
2010,126,0.01,18.38,9.18,13.46,5.98,1.27
2010,127,0.14,20.96,8.76,14.3,7.69,2.62
2010,128,0.0,23.3,11.08,16.97,8.12,1.34
2010,129,0.29,21.71,11.55,16.57,9.34,2.97
2010,130,0.3,23.6,12.01,17.4,8.91,2.73
2010,131,8.26,21.19,12.24,15.81,9.4,3.3
2010,132,2.86,18.5,10.54,14.12,7.75,2.85
2010,133,4.65,18.48,9.23,13.03,7.51,2.75
2010,134,3.26,17.13,8.55,12.63,6.65,3.68
2010,135,0.09,22.08,7.04,14.12,7.2,1.94
2010,136,0.0,26.14,8.87,17.29,7.2,1.46
2010,137,0.04,30.5,11.5,21.13,8.36,2.41
2010,138,0.27,32.54,16.24,23.58,9.16,3.48
2010,139,0.0,33.82,16.4,24.58,8.67,3.3
2010,140,0.0,34.83,16.5,24.84,9.34,4.2
2010,141,0.0,34.6,18.26,24.96,10.19,3.23
2010,142,0.23,26.87,17.31,22.0,11.47,1.17
2010,143,0.12,29.67,16.25,21.95,10.62,1.92
2010,144,0.1,25.99,14.9,19.5,10.8,2.28
2010,145,0.07,26.57,13.56,19.36,10.01,1.77
2010,146,0.0,28.22,13.92,20.02,9.83,2.05
2010,147,0.0,23.0,13.54,17.83,9.58,3.02
2010,148,0.01,23.01,12.62,16.92,8.61,2.37
2010,149,0.0,26.93,10.56,18.83,8.79,1.77
2010,150,0.0,31.26,13.97,22.34,9.09,1.9
2010,151,0.0,34.82,15.94,25.62,9.09,1.43
2010,152,0.0,35.91,19.89,27.41,10.31,1.52
2010,153,0.0,33.94,19.3,25.83,11.05,1.98
2010,154,0.0,31.01,16.81,23.46,10.07,1.97
2010,155,0.0,32.76,16.08,24.05,9.58,1.59
2010,156,0.0,31.32,17.81,23.79,11.35,1.8
2010,157,0.01,29.78,15.69,21.44,10.68,1.99
2010,158,0.0,29.57,13.83,21.0,9.7,1.8
2010,159,0.03,27.09,14.98,19.98,10.07,2.48
2010,160,3.2,27.22,14.83,19.86,10.5,4.5
2010,161,1.17,24.11,14.44,18.35,9.52,3.37
2010,162,0.35,23.63,13.05,17.65,8.42,2.8
2010,163,0.03,24.08,11.58,17.36,8.12,2.6
2010,164,1.16,23.01,13.2,17.48,9.16,2.14
2010,165,0.19,25.23,13.08,18.88,9.28,1.68
2010,166,0.0,28.44,13.4,20.67,9.34,2.04
2010,167,0.0,29.44,14.25,21.17,9.16,1.56
2010,168,0.0,28.47,14.97,21.14,9.95,2.21
2010,169,0.0,27.62,13.73,19.94,9.58,2.61
2010,170,0.0,25.24,13.37,18.26,8.36,2.35
2010,171,0.0,26.49,12.02,18.75,8.85,2.13
2010,172,0.0,27.08,13.32,19.71,9.22,1.86
2010,173,0.0,33.23,14.51,23.26,10.07,2.12
2010,174,0.0,34.94,16.48,24.86,11.29,2.06
2010,175,0.0,29.23,16.6,22.34,11.41,2.42
2010,176,0.01,27.4,15.99,20.9,10.62,1.91
2010,177,0.0,28.91,14.46,20.87,9.95,2.2
2010,178,0.0,28.8,15.04,21.62,10.38,1.77
2010,179,0.95,31.94,15.73,23.45,11.23,1.9
2010,180,1.25,33.98,18.27,25.69,12.76,1.59
2010,181,0.47,35.78,19.63,27.12,13.18,1.65
2010,182,0.19,33.99,20.15,26.51,13.37,1.85
2010,183,0.48,33.35,19.73,25.47,13.0,2.41
2010,184,2.11,33.64,19.23,25.23,13.0,1.78
2010,185,0.0,37.73,18.8,27.29,11.6,1.89
2010,186,0.02,35.05,19.17,26.55,12.15,1.69
2010,187,0.02,38.26,19.05,27.61,12.39,1.91
2010,188,0.84,37.09,20.79,27.92,12.76,1.82
2010,189,0.06,35.48,20.76,27.62,13.18,1.62
2010,190,0.01,36.34,21.55,28.35,13.24,1.63
2010,191,0.0,40.1,23.44,30.73,12.39,1.62
2010,192,0.01,37.83,23.26,29.46,12.45,1.91
2010,193,0.0,37.19,21.08,28.17,11.54,2.31
2010,194,0.0,35.4,17.76,25.57,10.01,1.95
2010,195,0.0,33.44,17.17,24.4,10.93,2.02
2010,196,0.0,34.69,17.34,24.87,11.11,2.23
2010,197,0.02,33.51,17.08,24.4,10.38,2.02
2010,198,0.02,36.15,18.53,27.12,11.72,1.49
2010,199,0.03,41.91,24.04,31.54,11.66,1.62
2010,200,0.0,40.01,23.91,30.7,12.08,2.19
2010,201,0.0,35.22,18.98,26.58,10.8,2.52
2010,202,0.0,33.87,16.83,24.47,10.62,2.22
2010,203,0.01,33.87,18.13,24.96,11.11,2.23
2010,204,0.02,35.12,18.01,26.01,11.23,1.71
2010,205,0.07,40.76,21.77,30.69,12.15,2.06
2010,206,0.89,37.83,24.95,30.51,13.12,1.88
2010,207,0.02,39.65,23.98,30.7,12.88,1.73
2010,208,2.16,36.49,23.37,29.77,12.82,2.58
2010,209,0.38,39.03,23.83,30.58,12.33,2.41
2010,210,0.01,36.97,20.99,28.11,10.44,2.29
2010,211,0.0,38.34,20.42,28.83,9.89,2.23
2010,212,0.0,39.01,22.08,29.66,10.31,2.05
2010,213,0.0,40.25,22.63,30.37,10.5,1.59
2010,214,0.0,39.64,23.01,30.21,10.93,2.2
2010,215,0.0,39.12,22.07,29.58,10.13,2.0
2010,216,0.0,36.4,18.88,27.14,8.67,2.23
2010,217,0.0,37.08,18.99,27.48,9.77,1.8
2010,218,0.0,39.87,19.76,29.03,11.29,2.13
2010,219,0.46,40.68,22.64,31.19,12.27,1.78
2010,220,0.08,40.55,25.81,31.84,13.12,2.73
2010,221,0.06,43.96,27.26,34.55,10.74,3.23
2010,222,0.0,41.9,26.69,33.73,9.46,2.45
2010,223,0.0,42.62,27.53,33.91,8.67,2.16
2010,224,0.0,38.73,23.22,30.64,9.22,3.11
2010,225,0.0,34.65,20.01,26.4,10.31,2.88
2010,226,0.0,37.22,18.87,26.94,9.64,1.74
2010,227,1.99,35.58,20.68,27.3,11.29,2.79
2010,228,2.23,34.33,20.21,26.15,11.29,2.73
2010,229,13.37,29.04,18.23,23.13,11.9,1.96
2010,230,9.71,26.78,16.98,21.75,12.51,1.8
2010,231,0.0,32.89,17.51,24.8,11.29,1.9
2010,232,0.0,37.98,19.19,28.58,11.54,1.77
2010,233,0.0,41.34,22.66,31.01,11.35,1.7
2010,234,0.0,41.13,23.05,30.69,12.94,1.66
2010,235,0.04,35.47,22.03,27.94,12.94,2.51
2010,236,0.0,37.98,19.91,28.19,10.93,1.65
2010,237,0.0,43.3,23.52,32.98,8.97,1.68
2010,238,0.01,44.6,26.8,35.16,7.93,2.02
2010,239,0.01,43.6,25.73,33.75,8.97,2.65
2010,240,0.0,41.4,24.59,31.66,9.64,2.34
2010,241,0.0,39.18,22.39,30.29,8.61,1.73
2010,242,0.0,42.19,23.15,31.91,8.73,1.83
2010,243,0.0,38.87,24.49,30.94,9.7,2.61
2010,244,0.0,36.61,22.1,27.85,11.54,2.42
2010,245,0.0,32.17,19.76,24.96,10.8,2.7
2010,246,0.0,37.16,18.23,27.5,8.91,2.27
2010,247,0.0,39.98,20.72,30.12,8.12,2.33
2010,248,0.0,39.08,22.37,29.65,9.52,2.27
2010,249,0.02,34.74,20.38,26.79,10.31,3.16
2010,250,0.0,30.36,18.52,23.15,10.68,3.03
2010,251,0.44,30.26,16.8,22.55,10.25,2.22
2010,252,0.0,35.7,14.26,24.21,6.59,1.87
2010,253,0.0,39.86,19.01,29.13,6.1,1.98
2010,254,0.05,38.06,23.05,29.48,9.4,2.39
2010,255,0.06,36.09,21.02,27.39,11.17,1.74
2010,256,0.01,37.69,22.15,29.49,9.58,1.95
2010,257,0.0,40.06,21.71,30.44,9.03,2.37
2010,258,0.0,40.79,24.16,31.31,8.36,2.93
2010,259,2.34,36.11,22.62,27.61,11.11,2.81
2010,260,1.88,29.11,18.41,23.99,11.23,3.99
2010,261,0.13,32.21,16.7,23.48,9.7,1.83
2010,262,0.89,33.31,19.26,24.78,10.99,1.73
2010,263,2.02,29.29,19.52,23.44,11.78,2.23
2010,264,0.23,34.03,18.49,25.26,10.62,1.49
2010,265,0.04,34.8,21.57,26.21,10.68,2.02
2010,266,0.18,35.06,20.72,26.01,11.05,2.83
2010,267,0.02,32.79,19.75,24.94,10.01,2.16
2010,268,0.01,29.87,17.71,23.14,9.77,2.16
2010,269,0.37,26.96,17.04,20.83,9.83,3.34
2010,270,0.05,26.78,15.49,19.73,9.03,2.78
2010,271,0.08,27.22,14.2,19.69,8.42,1.7
2010,272,0.0,31.99,14.73,22.02,7.32,1.59
2010,273,0.0,32.33,16.98,23.26,7.57,1.95
2010,274,0.0,33.74,17.42,24.08,8.06,1.74
2010,275,0.01,35.49,17.99,25.0,8.12,2.08
2010,276,0.2,29.73,18.17,22.75,10.31,4.0
2010,277,3.34,24.91,15.52,19.76,10.13,4.31
2010,278,0.28,29.95,13.81,20.19,8.73,2.6
2010,279,0.09,27.79,14.42,19.9,9.64,2.12
2010,280,0.34,29.28,15.55,21.27,9.89,1.58
2010,281,0.0,32.45,16.65,23.09,8.24,2.56
2010,282,13.46,28.01,17.08,20.57,9.58,4.02
2010,283,17.68,20.62,16.01,17.77,10.56,5.62
2010,284,28.26,20.66,13.24,16.92,9.89,4.94
2010,285,9.67,21.88,12.96,16.7,9.83,4.08
2010,286,2.87,23.17,14.17,17.8,10.13,2.31
2010,287,0.0,24.33,13.05,17.66,9.03,1.58
2010,288,0.0,24.55,12.49,17.49,8.36,1.56
2010,289,0.0,24.31,12.94,17.5,8.73,1.61
2010,290,0.0,24.29,12.95,17.28,8.67,1.39
2010,291,0.0,26.85,12.9,18.33,7.08,1.46
2010,292,0.01,25.79,13.83,18.15,6.96,1.18
2010,293,0.72,25.01,13.83,18.03,8.73,1.45
2010,294,0.06,26.96,13.48,19.05,8.73,1.19
2010,295,1.9,25.73,14.04,19.3,9.4,1.38
2010,296,9.15,21.06,15.04,17.68,10.38,1.13
2010,297,4.18,23.41,12.78,17.12,9.4,1.41
2010,298,0.04,23.73,11.62,16.51,8.73,1.76
2010,299,0.0,25.71,12.15,17.5,8.61,1.48
2010,300,0.0,27.36,13.1,18.83,7.39,1.27
2010,301,0.0,28.0,12.52,19.39,6.59,1.69
2010,302,0.05,29.42,13.4,19.06,6.59,2.69
2010,303,0.72,22.54,12.28,16.95,8.73,3.41
2010,304,18.58,18.06,13.05,15.46,9.22,6.05
2010,305,1.89,19.19,11.1,14.16,7.45,2.62
2010,306,0.0,21.68,8.54,14.26,7.08,1.64
2010,307,0.0,26.09,9.67,15.97,5.74,2.43
2010,308,0.0,28.17,10.03,17.55,5.37,2.12
2010,309,0.0,26.48,10.55,17.04,5.68,2.77
2010,310,0.0,24.73,10.02,16.45,6.53,1.38
2010,311,0.19,20.16,9.96,14.55,7.75,2.87
2010,312,1.8,16.92,11.76,13.79,8.48,3.71
2010,313,15.03,18.24,12.2,14.65,9.22,6.24
2010,314,9.22,18.16,9.62,14.13,8.12,2.37
2010,315,0.01,20.36,8.33,12.9,6.53,1.48
2010,316,0.0,21.55,9.2,14.02,6.23,1.14
2010,317,0.0,21.76,9.4,14.37,7.14,1.44
2010,318,0.69,21.82,9.26,14.58,7.63,2.64
2010,319,3.53,17.44,6.63,12.27,6.47,2.02
2010,320,0.0,20.43,5.06,11.15,4.27,1.23
2010,321,0.49,16.98,5.97,11.16,5.55,1.9
2010,322,3.12,18.3,8.13,12.19,6.84,1.39
2010,323,0.0,18.89,7.71,12.03,6.1,1.8
2010,324,5.75,18.52,9.73,14.0,8.12,2.95
2010,325,1.62,17.04,8.83,12.44,7.14,2.23
2010,326,0.42,17.23,8.12,11.42,6.53,1.12
2010,327,0.0,20.33,7.8,13.51,6.59,0.98
2010,328,0.57,22.37,11.37,15.33,7.69,1.62
2010,329,2.01,21.02,11.09,14.45,8.61,1.66
2010,330,8.33,22.93,11.85,16.22,8.3,0.95
2010,331,14.43,18.36,12.81,14.91,9.03,5.8
2010,332,7.34,15.51,10.67,12.94,7.75,2.55
2010,333,37.17,17.76,13.25,15.85,9.64,8.37
2010,334,90.12,15.78,10.48,13.45,9.22,5.14
2010,335,9.48,13.7,8.93,10.76,7.2,4.9
2010,336,13.87,13.73,9.17,10.97,7.51,3.66
2010,337,3.35,14.08,5.56,9.65,6.04,1.46
2010,338,0.0,20.26,4.83,12.04,6.35,1.73
2010,339,0.77,23.84,11.05,16.86,7.14,1.94
2010,340,0.48,22.3,14.36,17.18,8.73,3.23
2010,341,0.03,22.56,13.93,16.84,8.73,2.52
2010,342,0.0,24.11,12.14,16.73,8.48,2.2
2010,343,0.0,28.46,13.34,18.59,7.02,2.72
2010,344,0.0,26.44,13.13,17.99,6.71,1.96
2010,345,0.0,25.02,11.4,16.59,6.47,1.41
2010,346,0.04,17.36,11.55,14.1,8.06,2.02
2010,347,0.02,20.4,10.08,14.24,7.02,1.34
2010,348,0.0,20.27,8.9,13.13,6.59,1.34
2010,349,0.0,19.54,8.11,12.37,6.53,1.3
2010,350,0.0,16.63,6.74,9.94,4.88,1.76
2010,351,0.0,23.51,6.86,13.94,6.53,1.99
2010,352,1.82,20.58,10.61,14.82,7.2,3.88
2010,353,23.54,16.4,11.31,13.85,8.91,4.95
2010,354,1.25,20.38,10.8,14.36,8.24,2.79
2010,355,3.44,19.15,12.57,15.01,8.42,5.38
2010,356,30.29,17.28,12.03,14.07,8.24,7.42
2010,357,15.6,13.37,8.17,10.98,7.08,4.78
2010,358,0.22,12.84,6.08,8.56,5.37,0.84
2010,359,4.12,13.2,6.22,9.89,6.16,2.14
2010,360,8.87,17.4,8.26,12.53,8.54,2.34
2010,361,0.02,20.26,7.0,12.46,6.23,1.35
2010,362,0.0,21.26,10.18,14.22,6.71,1.24
2010,363,0.0,22.25,9.12,14.66,5.8,1.6
2010,364,0.12,18.15,7.86,11.92,5.8,2.65
2010,365,1.15,17.44,8.55,11.96,7.08,2.92
2011,1,0.24,16.96,8.94,11.87,7.57,1.5
2011,2,0.08,17.12,7.82,11.27,7.2,1.16
2011,3,0.0,17.39,8.1,11.68,6.23,1.1
2011,4,0.0,19.33,9.05,13.05,6.16,1.36
2011,5,0.0,19.37,8.23,12.53,6.35,2.34
2011,6,0.0,20.27,7.69,12.3,5.68,1.84
2011,7,0.0,19.31,9.94,13.33,5.8,1.97
2011,8,0.43,21.48,9.17,13.65,6.23,2.28
2011,9,4.74,15.23,7.34,10.39,6.96,2.3
2011,10,1.28,16.18,5.41,9.84,6.41,1.38
2011,11,0.0,17.54,6.98,10.9,5.74,1.17
2011,12,0.0,18.22,7.44,11.62,7.14,1.12
2011,13,0.0,20.37,6.98,12.54,5.74,1.17
2011,14,0.0,18.84,6.26,11.83,6.29,1.45
2011,15,0.0,22.07,6.69,12.56,5.74,1.23
2011,16,0.0,20.33,5.94,11.96,5.25,1.48
2011,17,0.0,20.18,9.19,12.97,5.37,1.17
2011,18,0.0,20.33,6.55,12.4,5.13,1.34
2011,19,0.0,18.05,7.2,11.84,5.49,1.5
2011,20,0.0,19.29,5.66,11.11,5.13,1.29
2011,21,0.0,20.72,7.12,12.24,5.0,1.56
2011,22,0.27,17.95,7.76,12.01,5.98,1.48
2011,23,0.98,15.74,6.91,10.75,6.29,1.45
2011,24,1.7,14.81,6.62,10.18,6.23,1.7
2011,25,0.35,20.31,7.08,12.75,6.65,1.72
2011,26,8.91,17.35,9.95,12.63,7.14,2.79
2011,27,17.82,14.5,7.16,11.04,7.08,5.2
2011,28,10.03,13.83,7.04,10.26,6.84,5.28
2011,29,9.46,12.33,8.85,10.4,7.32,2.95
2011,30,11.54,13.34,7.51,9.44,6.53,2.43
2011,31,9.25,11.94,4.65,7.89,5.74,2.22
2011,32,6.51,11.42,3.34,6.86,4.88,1.73
2011,33,0.03,12.01,0.26,6.43,4.03,1.38
2011,34,0.0,13.9,0.83,6.43,4.09,1.36
2011,35,0.0,17.95,1.3,8.34,3.91,2.38
2011,36,0.0,20.08,2.73,9.76,4.21,2.23
2011,37,0.0,18.64,3.19,10.09,4.7,1.68
2011,38,0.0,17.32,5.55,10.07,5.31,1.25
2011,39,0.0,17.1,4.98,10.24,5.25,1.23
2011,40,0.0,19.68,4.31,11.05,5.0,1.34
2011,41,0.0,19.31,6.81,11.55,4.94,1.18
2011,42,0.0,18.25,4.41,10.87,5.13,1.44
2011,43,0.0,19.02,5.92,10.99,4.94,1.45
2011,44,1.52,17.27,4.21,10.31,5.86,3.3
2011,45,8.16,16.54,6.61,10.73,6.29,2.49
2011,46,30.44,13.44,6.18,10.05,6.84,4.53
2011,47,15.27,15.25,9.17,11.5,7.26,5.53
2011,48,21.93,14.55,8.15,10.84,6.71,4.95
2011,49,0.26,17.51,7.24,11.52,6.41,1.16
2011,50,0.0,18.89,7.75,12.13,6.16,1.28
2011,51,1.79,15.15,7.48,10.67,7.08,1.82
2011,52,0.24,17.47,4.97,10.59,6.9,1.4
2011,53,0.21,18.51,6.44,11.27,7.14,1.18
2011,54,0.03,21.37,7.2,12.86,6.71,1.43
2011,55,0.0,23.48,6.73,13.79,5.86,1.68
2011,56,0.0,22.84,6.72,14.1,5.74,2.12
2011,57,0.0,23.68,9.3,15.06,6.41,1.66
2011,58,0.16,21.22,8.98,13.8,6.77,2.08
2011,59,0.38,18.31,7.45,11.54,6.53,2.02
2011,60,0.0,16.52,4.23,9.31,4.94,1.88
2011,61,0.01,14.18,3.37,8.07,4.03,1.13
2011,62,0.0,16.15,1.4,8.02,4.09,1.47
2011,63,0.03,15.28,1.86,8.08,4.76,1.92
2011,64,0.29,17.12,3.79,10.19,5.07,1.23
2011,65,0.4,18.35,6.53,11.57,5.74,0.96
2011,66,0.49,21.87,5.92,13.65,5.8,1.24
2011,67,2.5,19.44,7.08,12.9,7.08,1.43
2011,68,6.34,17.21,8.61,11.84,7.57,1.43
2011,69,0.49,19.37,8.17,12.8,7.26,1.27
2011,70,16.48,17.75,9.37,12.73,7.69,1.98
2011,71,4.36,16.74,8.84,12.4,7.45,3.02
2011,72,2.14,18.26,8.94,13.18,7.26,2.8
2011,73,13.93,17.52,7.42,11.26,6.9,4.02
2011,74,8.89,10.15,5.92,7.94,6.23,2.79
2011,75,19.54,12.19,5.21,8.83,6.59,4.88
2011,76,0.16,17.02,7.83,11.44,6.59,2.0
2011,77,0.0,21.15,6.5,13.13,6.65,1.86
2011,78,0.0,25.98,7.34,15.94,5.49,1.77
2011,79,0.0,25.48,8.99,16.56,5.74,1.58
2011,80,0.0,25.83,9.44,16.85,6.53,1.57
2011,81,0.04,24.68,9.43,16.19,6.59,1.49
2011,82,0.05,22.88,11.46,16.12,6.77,2.88
2011,83,0.02,26.6,11.34,18.06,6.96,2.29
2011,84,0.44,24.33,10.74,16.62,8.12,1.64
2011,85,0.04,23.04,10.4,15.51,8.06,1.66
2011,86,0.0,21.18,9.87,14.32,7.75,1.62
2011,87,0.0,22.2,8.55,14.82,7.63,1.48
2011,88,0.0,21.33,10.6,14.73,8.12,1.63
2011,89,0.0,24.2,8.98,15.79,7.69,1.69
2011,90,0.0,29.16,10.32,18.78,7.39,2.77
2011,91,0.0,31.73,13.64,21.48,7.57,2.54
2011,92,0.31,31.47,14.99,21.11,8.73,2.37
2011,93,8.64,18.71,11.69,15.75,9.7,2.52
2011,94,0.55,23.65,10.46,15.67,8.61,3.13
2011,95,0.01,28.08,12.29,18.33,7.32,3.99
2011,96,0.0,26.58,12.04,18.15,7.75,1.43
2011,97,0.0,31.18,13.14,20.89,7.75,1.32
2011,98,0.0,33.83,14.3,22.98,7.69,1.91
2011,99,0.0,26.65,12.98,18.85,9.58,1.97
2011,100,0.0,26.23,11.44,17.75,8.67,1.4
2011,101,0.0,27.39,11.75,18.97,8.24,1.76
2011,102,0.0,28.12,11.79,19.16,7.93,3.48
2011,103,0.0,33.54,13.0,23.1,8.36,1.93
2011,104,0.0,30.55,15.6,22.01,8.91,3.09
2011,105,0.0,29.23,14.48,21.12,7.93,1.62
2011,106,0.13,29.32,14.69,20.14,9.28,1.77
2011,107,0.49,27.25,11.87,19.42,9.77,1.38
2011,108,1.78,28.65,14.84,21.2,9.89,2.05
2011,109,0.43,25.21,13.59,18.8,9.52,2.59
2011,110,2.52,26.26,13.77,18.91,9.52,1.81
2011,111,11.39,21.48,11.29,16.24,8.85,3.55
2011,112,6.37,18.31,9.27,13.58,7.87,4.97
2011,113,1.84,18.63,10.6,13.95,8.06,1.88
2011,114,12.64,17.33,10.46,13.8,8.3,2.38
